source_stage,source_dir,source_csv,candidate_count,status,runtime_seconds,std,min,max,count,budget,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,100,,,,,,,0.2,validation_swap,1.0,0.0,1.487877123022902,,,,295.9074108890037,,,,143.95559778844648,,,,884.4872048505412,,,,0.0348726239525584,,,,0.0,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,coverage,1.0,0.0,1.6608396977214233,,,,304.99176202041605,,,,142.6528982707108,,,,1283.125553476915,,,,0.0386308099006583,,,,0.1838399960876274,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,degree,1.0,0.0,1.9442593236655783,,,,345.52830860088835,,,,160.25295956407146,,,,1652.5023737186611,,,,0.1400114568053675,,,,0.4552947783415726,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,graph_sampling_laplacian,1.0,0.0,1.8905460734058448,,,,361.892034021624,,,,189.9766055760545,,,,2601.7514843157023,,,,0.12752723721967,,,,0.4038490867990946,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,greedy_a_trace,1.0,0.0,1.6937831905509315,,,,252.7847156076752,,,,127.93720059302235,,,,827.4429067049239,,,,0.0354842330684903,,,,0.2153927463353489,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,greedy_d_logdet,1.0,0.0,2.049730728816465,,,,285.7083645759104,,,,130.15655740475833,,,,2495.738821564474,,,,0.0488947808357289,,,,0.5563136023692807,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,observability_proxy,1.0,0.0,1.9750809588187843,,,,323.406824960629,,,,138.67938259812132,,,,1179.8674565198696,,,,0.0943473331035828,,,,0.4848152472623546,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,qr_pod_modes,1.0,0.0,1.758454154410067,,,,263.6475437773701,,,,132.01725248680674,,,,1773.0013468841526,,,,0.0392139755989688,,,,0.2773335606104811,,,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,quality_coverage_sample,200.0,1.0,1.7633432610754292,0.1333581432918267,1.468896632684583,,301.42402299040566,6.675762904324778,297.85234484932505,,151.56594901418364,7.252534642242386,140.69426788067506,,958.8758270754244,129.97597586707644,920.5060219593043,,0.0363520855029535,0.0015193032667665,0.0373134729700724,,0.2820162687357247,0.1277282955563782,0.0,
stage14_candidate_sensitivity,TRC-23-02333/trace_sl_results/pems7_228_stage14_candidate_sensitivity,candidate_sensitivity_summary.csv,200,,,,,,,0.2,random_validation_pool,1.0,0.0,1.5975972384658796,,,,295.04843389265835,,,,134.9282144444685,,,,880.642927620295,,,,0.0377877241948732,,,,0.1232673806619043,,,
