dataset,budget_pct,split_seed,trace_source_label,trace_evidence_source,best_baseline_layout,best_baseline_label,hidden_node,node_rank_by_baseline_error,baseline_hidden_mae,trace_hidden_mae,gain_vs_baseline
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,219,54,6.459647478965512,6.152132350151938,0.30751512881357446
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,871,55,6.456267469850594,6.118982731485269,0.3372847383653257
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,1025,56,6.40417324473194,6.620261340141,-0.21608809540906027
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,147,57,6.292105845417527,6.229987064746049,0.06211878067147847
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,67,58,6.287505982415684,6.312345883357057,-0.024839900941373116
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,445,59,6.248956388841914,6.116584575403193,0.13237181343872084
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,68,60,6.241906940271908,6.231184952655917,0.010721987615990969
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,562,61,6.216057115495452,5.63454420002907,0.5815129154663818
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,692,62,6.193879076642791,6.070438351539587,0.1234407251032037
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,92,63,6.191794386335862,6.211671974998944,-0.01987758866308198
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,556,64,6.161342888317212,4.56456526720611,1.5967776211111024
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,868,65,6.145463573234294,6.365129577704462,-0.2196660044701675
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,630,66,6.0695354822542535,5.593161931623027,0.47637355063122655
PeMS7_1026,10,25,Stage16 calibrated rerun,stage16_replaceable:pems7_1026_10_20_posterior_iter20,swap_from_greedy_a_trace,Swap from A-trace,105,67,6.026642941285218,6.2923259874243875,-0.26568304613916993
