dataset,budget,split_seed,evidence_source,source_label,source_root,initializer,sensor_count,n_nodes,exchange_steps,searched_one_exchange_coverage_pct,stop_reason,peak_trace_rss_mb,validation_mae,final_objective
Seattle,0.2,30,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,65,323,6,7.6326774001192605,no_improving_one_exchange,392.871,3.1417984755112345,3.89480816694281
Seattle,0.2,31,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,65,323,0,7.6326774001192605,no_improving_one_exchange,325.035,2.6358847519187627,3.8220220589015637
Seattle,0.2,32,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,65,323,2,7.6326774001192605,no_improving_one_exchange,306.988,2.5190546832113045,3.844259015176662
Seattle,0.2,33,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,65,323,4,7.6326774001192605,no_improving_one_exchange,348.277,2.384562074968377,3.666447099411154
Seattle,0.2,34,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,65,323,3,7.6326774001192605,no_improving_one_exchange,346.781,2.8273997508094104,3.902813069672535
Seattle,0.3,25,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,97,323,1,5.8388833135662805,no_improving_one_exchange,530.121,2.7404213032406974,3.354461764920677
Seattle,0.3,26,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,97,323,5,5.8388833135662805,no_improving_one_exchange,468.805,2.9291383027806064,3.2929479856562933
Seattle,0.3,27,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,97,323,7,5.8388833135662805,no_improving_one_exchange,537.176,2.7601286856173877,3.1503537310173044
Seattle,0.3,28,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,97,323,1,5.8388833135662805,no_improving_one_exchange,403.992,2.838135062369753,3.4112570411966736
Seattle,0.3,29,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,97,323,3,5.8388833135662805,no_improving_one_exchange,502.496,2.8445210003110124,3.3972376011943703
Seattle,0.3,30,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,97,323,5,5.8388833135662805,no_improving_one_exchange,512.246,2.882711567071492,3.3609713471754543
Seattle,0.3,31,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,97,323,2,5.8388833135662805,no_improving_one_exchange,385.504,2.4444328716842536,3.2595222308166756
Seattle,0.3,32,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,97,323,2,5.8388833135662805,no_improving_one_exchange,377.457,2.301066248689773,3.270987102985256
Seattle,0.3,33,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,97,323,0,5.8388833135662805,no_improving_one_exchange,390.309,2.205538229084841,3.133098246591079
Seattle,0.3,34,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,seattle_10_20_30_trainval,objective_forward,97,323,4,5.8388833135662805,no_improving_one_exchange,459.75,2.537967053997479,3.32570966309751
