dataset,budget,budget_pct,evidence_source,baseline_layout,baseline_label,mean_delta,win_count,count,paired_t_p_less,paired_t_p_greater,paired_t_p_holm,wilcoxon_p_less,trace_significantly_better_holm,baseline_significantly_better_holm,wilcoxon_supports_trace
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,rcss_selected,RCSS,-0.14258186345691395,10,10,3.2062975577998317e-06,0.9999967937024422,8.336373650279562e-05,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,robust_coverage_cvar,robust coverage cvar,-0.22062906959307726,10,10,1.6147016834724121e-06,0.9999983852983165,5.489985723806201e-05,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,scenario_average_a_trace,scenario average a trace,-0.23561870495916906,10,10,5.738211191855916e-06,0.9999942617888081,0.00012363770053216777,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,scenario_cvar_a_trace,scenario cvar a trace,-0.23409607323974332,10,10,8.57193078344457e-05,0.9999142806921656,0.0006857544626755656,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,swap_from_best_random_trace,swap from best random trace,-0.16779611574202785,10,10,6.688103719516931e-06,0.9999933118962805,0.00013177456554845074,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,swap_from_greedy_a_trace,Swap from A-trace,-0.16517046233677252,10,10,1.6541518355012803e-06,0.9999983458481645,5.489985723806201e-05,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,swap_from_scenario_average,swap from scenario average,-0.15481688892021425,10,10,5.763958115575164e-05,0.9999423604188442,0.0005187562304017648,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,swap_from_scenario_cvar,swap from scenario cvar,-0.17820502675772215,10,10,4.098071104071963e-06,0.999995901928896,9.835370649772711e-05,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,top_variance,top variance,-0.27709389407545204,10,10,3.892814093825373e-07,0.9999996107185907,1.7128382012831642e-05,0.0009765625,True,False,True
PeMS7_228,0.1,10,stage16_replaceable:train_val_lowcert_delta1_fullsearch,validation_swap_selected,Prev. TRACE-SL,-0.14237889689615213,10,10,2.7795857884851452e-05,0.9999722041421152,0.0003200476234798224,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,best_random_by_trace,best random by trace,-0.48689639315549715,10,10,6.396613005445677e-10,0.9999999993603387,9.786817898331885e-08,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,best_random_by_validation,best random by validation,-0.41191111831244903,10,10,4.004409015434954e-08,0.9999999599559098,3.043350851730565e-06,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,coverage,coverage,-0.6045402067172811,10,10,4.519182066889876e-09,0.999999995480818,5.151867556254458e-07,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,degree,degree,-1.0674646603751727,10,10,8.826524954019409e-11,0.9999999999117347,1.535815341999377e-08,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,graph_sampling_laplacian,graph sampling laplacian,-0.9480921600690165,10,10,9.028686774140589e-08,0.9999999097131322,5.688072667708571e-06,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,greedy_a_trace,greedy a trace,-0.42177208412627726,10,10,1.4738535035778177e-08,0.9999999852614649,1.391351706212865e-06,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,greedy_d_logdet,greedy d logdet,-1.13461927824135,10,10,3.672047781285631e-08,0.9999999632795222,2.937638225028505e-06,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,multistart_swap_by_validation,Multistart validation-swap,-0.3450745040033622,10,10,1.6503681368711587e-09,0.9999999983496318,2.2445006661447757e-07,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,observability_proxy,observability proxy,-0.8799901934676493,10,10,3.0247591928724986e-11,0.9999999999697524,5.4748141390992225e-09,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,qr_pod_modes,qr pod modes,-0.7404247355373226,10,10,1.0838265433647902e-08,0.9999999891617346,1.0729882779311423e-06,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,random,random,-0.549519716635108,10,10,2.9325184968501365e-08,0.999999970674815,2.433990352385613e-06,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,rcss_selected,RCSS,-0.3486800081582089,10,10,4.8756016336665e-11,0.999999999951244,8.67857090792637e-09,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,robust_coverage_cvar,robust coverage cvar,-0.39619807958042663,10,10,1.5649478176997638e-09,0.9999999984350522,2.1439785102486764e-07,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,scenario_average_a_trace,scenario average a trace,-0.45938236839460933,10,10,2.201094470538001e-10,0.9999999997798905,3.609794931682322e-08,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,scenario_cvar_a_trace,scenario cvar a trace,-0.424423443332421,10,10,3.0165620627407267e-09,0.9999999969834379,3.7103713371710936e-07,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,swap_from_best_random_trace,swap from best random trace,-0.40597991254843874,10,10,1.9942412248639694e-10,0.9999999998005759,3.310440433274189e-08,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,swap_from_greedy_a_trace,Swap from A-trace,-0.40692514867383417,10,10,1.703533552789684e-09,0.9999999982964665,2.2801581524953872e-07,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,swap_from_scenario_average,swap from scenario average,-0.4080624095253716,10,10,1.1789790077182888e-09,0.999999998821021,1.6623604008827872e-07,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,swap_from_scenario_cvar,swap from scenario cvar,-0.40308419241957555,10,10,2.958970202466884e-10,0.999999999704103,4.7343523239470144e-08,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,top_variance,top variance,-0.383993238232274,10,10,2.1881557437127088e-07,0.9999997811844257,1.1508228964800211e-05,0.0009765625,True,False,True
PeMS7_228,0.2,20,stage16_replaceable:pems7_228_20_30_fullsearch,validation_swap_selected,Prev. TRACE-SL,-0.2762235868142528,10,10,3.7014834183759366e-09,0.9999999962985165,4.478794936234883e-07,0.0009765625,True,False,True
PeMS7_228,0.3,30,stage16_replaceable:pems7_228_20_30_fullsearch,best_random_by_trace,best random by trace,-0.6219407621552029,10,10,3.925217143867151e-09,0.9999999960747828,4.6334476183901724e-07,0.0009765625,True,False,True
PeMS7_228,0.3,30,stage16_replaceable:pems7_228_20_30_fullsearch,best_random_by_validation,best random by validation,-0.5032303205331939,10,10,5.791595172411704e-10,0.9999999994208405,8.97697251723814e-08,0.0009765625,True,False,True
PeMS7_228,0.3,30,stage16_replaceable:pems7_228_20_30_fullsearch,coverage,coverage,-0.6364810082004884,10,10,1.4539853101337634e-09,0.9999999985460147,2.0210395810859312e-07,0.0009765625,True,False,True
PeMS7_228,0.3,30,stage16_replaceable:pems7_228_20_30_fullsearch,degree,degree,-1.2347911471117634,10,10,5.910898819691739e-10,0.9999999994089102,9.102784182325278e-08,0.0009765625,True,False,True
PeMS7_228,0.3,30,stage16_replaceable:pems7_228_20_30_fullsearch,graph_sampling_laplacian,graph sampling laplacian,-1.0634785227624015,10,10,3.938050501542281e-09,0.9999999960619494,4.6334476183901724e-07,0.0009765625,True,False,True
PeMS7_228,0.3,30,stage16_replaceable:pems7_228_20_30_fullsearch,greedy_a_trace,greedy a trace,-0.6092809346920183,10,10,2.256130082357305e-09,0.9999999977438699,2.932969107064497e-07,0.0009765625,True,False,True
PeMS7_228,0.3,30,stage16_replaceable:pems7_228_20_30_fullsearch,greedy_d_logdet,greedy d logdet,-1.1378951663200134,10,10,2.342429297490435e-08,0.999999976575707,2.084762074766487e-06,0.0009765625,True,False,True
PeMS7_228,0.3,30,stage16_replaceable:pems7_228_20_30_fullsearch,multistart_swap_by_validation,Multistart validation-swap,-0.4958559148569256,10,10,1.0175898938104262e-09,0.9999999989824101,1.4551535481489096e-07,0.0009765625,True,False,True
PeMS7_228,0.3,30,stage16_replaceable:pems7_228_20_30_fullsearch,observability_proxy,observability proxy,-1.1458087842926885,10,10,6.827381585298794e-10,0.9999999993172618,1.0377620009654168e-07,0.0009765625,True,False,True
PeMS7_228,0.3,30,stage16_replaceable:pems7_228_20_30_fullsearch,qr_pod_modes,qr pod modes,-0.7051416425318535,10,10,2.363029038611663e-09,0.999999997636971,3.0112615399145097e-07,0.0009765625,True,False,True
