dataset,budget,split_seed,layout_type,layout_label,validation_selected_mae,heldout_mae,posterior_trace
Seattle,0.1,26,best_random_by_validation,Best random,3.688891897196168,3.3369472852944244,501.78808961597866
Seattle,0.1,26,trace_biopt,TRACE-BiOpt,3.4423493404232466,3.1198935386460764,474.25700119025976
Seattle,0.1,26,multistart_swap_by_validation,Multistart swap,3.550261084692867,3.2560759970916875,456.3896873501283
Seattle,0.1,26,rcss_selected,RCSS,3.1771680720518405,3.2560759970916875,456.3896873501283
Seattle,0.1,26,validation_swap_selected,Prev. TRACE-SL,3.5432869272276983,3.253327859706177,464.4573352199865
Seattle,0.2,26,best_random_by_validation,Best random,3.410917619300961,3.0368772597791134,396.5298786109056
Seattle,0.2,26,trace_biopt,TRACE-BiOpt,3.1390946504714505,2.827819797650206,374.30018083384255
Seattle,0.2,26,multistart_swap_by_validation,Multistart swap,3.379268209442889,3.071540990827025,347.6220634016172
Seattle,0.2,26,rcss_selected,RCSS,2.94953725104652,2.9202488910003157,390.7045959622912
Seattle,0.2,26,validation_swap_selected,Prev. TRACE-SL,3.227436944665905,2.921643586728268,394.4886807962697
Seattle,0.3,26,best_random_by_validation,Best random,3.190988210553501,2.8653012295788054,336.2856477581313
Seattle,0.3,26,trace_biopt,TRACE-BiOpt,2.854693460575328,2.568737419258785,316.8658793636067
Seattle,0.3,26,multistart_swap_by_validation,Multistart swap,3.151514459061044,2.85415761118295,291.429596401195
Seattle,0.3,26,rcss_selected,RCSS,2.748030699261013,2.7148369099442817,329.17040492511984
Seattle,0.3,26,validation_swap_selected,Prev. TRACE-SL,2.964490294032596,2.6587562086780165,332.66671608343074
Seattle,0.1,27,best_random_by_validation,Best random,3.495817760793335,2.956239912822344,510.1274410154505
Seattle,0.1,27,trace_biopt,TRACE-BiOpt,3.3579033566094534,2.929185754010097,477.7745521863977
Seattle,0.1,27,multistart_swap_by_validation,Multistart swap,3.461204821200506,2.946377952106045,450.52904929901126
Seattle,0.1,27,rcss_selected,RCSS,3.2068052652343955,2.946377952106045,450.52904929901126
Seattle,0.1,27,validation_swap_selected,Prev. TRACE-SL,3.4416626299768383,2.9283926690813717,453.69615107477534
Seattle,0.2,27,best_random_by_validation,Best random,3.274072471300504,2.8119374980979703,398.2681704011984
Seattle,0.2,27,trace_biopt,TRACE-BiOpt,2.999849106640492,2.5334659429107207,380.3071961863408
Seattle,0.2,27,multistart_swap_by_validation,Multistart swap,3.2285555766727514,2.737329196989092,345.0258214763642
Seattle,0.2,27,rcss_selected,RCSS,2.955256065508384,2.6883260895447525,387.2294128918635
Seattle,0.2,27,validation_swap_selected,Prev. TRACE-SL,3.14251578618415,2.6720321113103283,388.1627955458264
Seattle,0.3,27,best_random_by_validation,Best random,3.092579169813716,2.632177143151465,334.8610385306365
Seattle,0.3,27,trace_biopt,TRACE-BiOpt,2.7186644026744906,2.3252353328959425,324.76790080589967
Seattle,0.3,27,multistart_swap_by_validation,Multistart swap,3.0710739762875523,2.58116527591701,287.0675731824155
Seattle,0.3,27,rcss_selected,RCSS,2.762018384892872,2.529530652699907,333.5301106101808
Seattle,0.3,27,validation_swap_selected,Prev. TRACE-SL,2.8853570504818413,2.454503274908637,343.81818232737953
Seattle,0.1,28,best_random_by_validation,Best random,3.5749885957091703,3.068523949242053,512.1993089427558
Seattle,0.1,28,trace_biopt,TRACE-BiOpt,3.346639390149948,2.84563894932067,493.27661652069503
Seattle,0.1,28,multistart_swap_by_validation,Multistart swap,3.501816919234904,2.92973873843638,459.8005525238415
Seattle,0.1,28,rcss_selected,RCSS,3.5306234189683288,2.8989679852578125,456.1829982409564
Seattle,0.1,28,validation_swap_selected,Prev. TRACE-SL,3.437097664761442,2.937498516456224,504.14230088505576
Seattle,0.2,28,best_random_by_validation,Best random,3.273303628120318,2.7250867897582274,408.11638069929495
Seattle,0.2,28,trace_biopt,TRACE-BiOpt,3.0351798572673925,2.551430805975908,404.8923605169224
Seattle,0.2,28,multistart_swap_by_validation,Multistart swap,3.240659836957709,2.707771384776442,352.8992672381398
Seattle,0.2,28,rcss_selected,RCSS,3.2009030048034184,2.660932968852721,393.3146020604597
Seattle,0.2,28,validation_swap_selected,Prev. TRACE-SL,3.16087157855476,2.6612066409825337,400.8772059065286
Seattle,0.3,28,best_random_by_validation,Best random,3.135832944515569,2.645143903915009,338.1368388399141
Seattle,0.3,28,trace_biopt,TRACE-BiOpt,2.8058339089682,2.3771781351197907,351.3598118978124
Seattle,0.3,28,multistart_swap_by_validation,Multistart swap,3.0842365310462774,2.5956971833268088,295.80684329815995
Seattle,0.3,28,rcss_selected,RCSS,2.98901018695711,2.484510689465952,330.35169737939134
Seattle,0.3,28,validation_swap_selected,Prev. TRACE-SL,2.9345602082393616,2.464913403341364,328.5666611052164
Seattle,0.1,29,best_random_by_validation,Best random,3.6001479298182626,3.589924318513284,507.3328036633027
Seattle,0.1,29,trace_biopt,TRACE-BiOpt,3.3376268255827863,3.276623929621274,484.83849613690825
Seattle,0.1,29,multistart_swap_by_validation,Multistart swap,3.4728876115968736,3.2865587342816824,455.7366804412392
Seattle,0.1,29,rcss_selected,RCSS,3.7410558528786737,3.304063401377575,453.2707102861205
Seattle,0.1,29,validation_swap_selected,Prev. TRACE-SL,3.4360095107715964,3.336292786085992,462.5866579568119
Seattle,0.2,29,best_random_by_validation,Best random,3.30435424364602,3.1273255661634547,405.047661897873
Seattle,0.2,29,trace_biopt,TRACE-BiOpt,3.050157446757595,3.008412176521865,386.849466183168
Seattle,0.2,29,multistart_swap_by_validation,Multistart swap,3.2483097203649747,3.085504965359774,352.4869626038725
Seattle,0.2,29,rcss_selected,RCSS,3.443096357893085,3.0353936133684245,391.3226628884353
Seattle,0.2,29,validation_swap_selected,Prev. TRACE-SL,3.155954325067526,3.030073806908234,394.52863158614366
Seattle,0.3,29,best_random_by_validation,Best random,3.126955785113793,2.993298198259416,343.0767663543432
Seattle,0.3,29,trace_biopt,TRACE-BiOpt,2.8409284203648832,2.759861220182082,341.6047305852827
Seattle,0.3,29,multistart_swap_by_validation,Multistart swap,3.083457293430982,2.932406203657081,294.15198499077405
Seattle,0.3,29,rcss_selected,RCSS,3.192821674378086,2.8608367397480827,330.23814884147447
Seattle,0.3,29,validation_swap_selected,Prev. TRACE-SL,2.945060091868952,2.828258891155688,332.0178205554689
Seattle,0.1,30,best_random_by_validation,Best random,3.708427940439748,2.9416259939192773,509.1779235514847
Seattle,0.1,30,trace_biopt,TRACE-BiOpt,3.478235730885733,2.8338590468596254,486.927021896886
Seattle,0.1,30,multistart_swap_by_validation,Multistart swap,3.619324959209831,2.834957481087528,450.9382607790637
Seattle,0.1,30,rcss_selected,RCSS,3.726262428562408,2.834957481087528,450.9382607790637
Seattle,0.1,30,validation_swap_selected,Prev. TRACE-SL,3.61371554578367,2.826648046997938,456.367171518041
Seattle,0.2,30,best_random_by_validation,Best random,3.3997437065183176,2.694785335694609,406.6655701103505
Seattle,0.2,30,trace_biopt,TRACE-BiOpt,3.113582277444886,2.5202350750956475,388.603140788328
Seattle,0.2,30,multistart_swap_by_validation,Multistart swap,3.325114886446224,2.612044200702999,346.08960134144326
Seattle,0.2,30,rcss_selected,RCSS,3.428689343412478,2.612044200702999,346.08960134144326
Seattle,0.2,30,validation_swap_selected,Prev. TRACE-SL,3.236541281666491,2.573039005836084,384.8790441439211
Seattle,0.3,30,best_random_by_validation,Best random,3.2146669725609893,2.635873923079537,331.5585668431605
Seattle,0.3,30,trace_biopt,TRACE-BiOpt,2.884121652564817,2.350867386131013,341.85047121345224
Seattle,0.3,30,multistart_swap_by_validation,Multistart swap,3.172582704256385,2.518505462551817,288.2654127633386
Seattle,0.3,30,rcss_selected,RCSS,3.086021956855192,2.4856644390360283,330.13124056070006
Seattle,0.3,30,validation_swap_selected,Prev. TRACE-SL,3.003239954114555,2.426992935184121,323.6617269638371
Seattle,0.1,31,best_random_by_validation,Best random,3.087918452858066,3.3125049905397583,516.9324949457364
Seattle,0.1,31,trace_biopt,TRACE-BiOpt,2.9223205292716345,3.12261227451948,485.0044251206376
Seattle,0.1,31,multistart_swap_by_validation,Multistart swap,2.9805490639525503,3.2073007249681544,457.0947636070061
Seattle,0.1,31,rcss_selected,RCSS,3.494646790305399,3.2073007249681544,457.0947636070061
Seattle,0.1,31,validation_swap_selected,Prev. TRACE-SL,2.9583809460692327,3.207715075529901,464.2368971952639
Seattle,0.2,31,best_random_by_validation,Best random,2.8347362278247763,3.073188881105928,394.8027069862153
Seattle,0.2,31,trace_biopt,TRACE-BiOpt,2.6109248560740244,2.800639370127512,394.7605311467937
Seattle,0.2,31,multistart_swap_by_validation,Multistart swap,2.749718681789512,2.955636390715363,347.2245295583135
Seattle,0.2,31,rcss_selected,RCSS,3.2434925828137744,2.9897043398404595,340.9392418884264
Seattle,0.2,31,validation_swap_selected,Prev. TRACE-SL,2.668425355238454,2.9093825975885323,354.49716093663824
Seattle,0.3,31,best_random_by_validation,Best random,2.650988638262446,2.8547986924342106,344.5658990052257
