dataset,layout_type,layout_label,budget_pct,mean_mae,rank,trace_gap,avg_rank
Seattle,greedy_a_trace,Greedy A-trace,20,2.9040123479,6,0.1710301756,6.6667
Seattle,greedy_a_trace,Greedy A-trace,30,2.7754241660,7,0.2610460007,6.6667
Seattle,greedy_d_logdet,Greedy D-logdet,10,3.8660410830,21,0.8244279170,20.0000
Seattle,greedy_d_logdet,Greedy D-logdet,20,3.5142747819,20,0.7812926096,20.0000
Seattle,greedy_d_logdet,Greedy D-logdet,30,3.2046778683,19,0.6902997030,20.0000
Seattle,multistart_swap_by_validation,Multistart swap,10,3.0973494485,3,0.0557362825,4.0000
Seattle,multistart_swap_by_validation,Multistart swap,20,2.8909366282,4,0.1579544559,4.0000
Seattle,multistart_swap_by_validation,Multistart swap,30,2.7328844726,5,0.2185063073,4.0000
Seattle,observability_proxy,Observability,10,3.5727984230,19,0.5311852570,19.3333
Seattle,observability_proxy,Observability,20,3.4271586253,19,0.6941764530,19.3333
Seattle,observability_proxy,Observability,30,3.4103239637,20,0.8959457984,19.3333
Seattle,qr_pod_modes,QR/POD,10,3.4650978010,17,0.4234846350,14.6667
Seattle,qr_pod_modes,QR/POD,20,3.0663947554,15,0.3334125831,14.6667
Seattle,qr_pod_modes,QR/POD,30,2.8066748003,12,0.2922966350,14.6667
Seattle,random,Random,10,3.3390016391,16,0.2973884731,15.3333
Seattle,random,Random,20,3.0262602098,14,0.2932780375,15.3333
Seattle,random,Random,30,2.8632245111,16,0.3488463458,15.3333
Seattle,rcss_selected,RCSS,10,3.0973307670,2,0.0557176010,2.6667
Seattle,rcss_selected,RCSS,20,2.8415816975,3,0.1085995252,2.6667
Seattle,rcss_selected,RCSS,30,2.6560651901,3,0.1416870248,2.6667
Seattle,robust_coverage_cvar,Robust coverage,10,3.2626562068,12,0.2210430408,13.3333
Seattle,robust_coverage_cvar,Robust coverage,20,3.0085014034,13,0.2755192311,13.3333
Seattle,robust_coverage_cvar,Robust coverage,30,2.8535449875,15,0.3391668222,13.3333
Seattle,scenario_average_a_trace,Avg-scenario A,10,3.2442277605,11,0.2026145945,14.6667
Seattle,scenario_average_a_trace,Avg-scenario A,20,3.0948831314,16,0.3619009591,14.6667
Seattle,scenario_average_a_trace,Avg-scenario A,30,2.9356305258,17,0.4212523605,14.6667
Seattle,scenario_cvar_a_trace,CVaR-scenario A,10,3.3002844494,15,0.2586712834,17.0000
Seattle,scenario_cvar_a_trace,CVaR-scenario A,20,3.1037683468,18,0.3707861745,17.0000
Seattle,scenario_cvar_a_trace,CVaR-scenario A,30,2.9520638013,18,0.4376856360,17.0000
Seattle,swap_from_best_random_trace,Swap-random,10,3.1256236910,8,0.0840105250,9.6667
Seattle,swap_from_best_random_trace,Swap-random,20,2.9454833750,10,0.2125012027,9.6667
Seattle,swap_from_best_random_trace,Swap-random,30,2.7905303385,11,0.2761521732,9.6667
Seattle,swap_from_greedy_a_trace,Swap-A,10,3.1125297441,5,0.0709165781,6.0000
Seattle,swap_from_greedy_a_trace,Swap-A,20,2.9052088394,7,0.1722266671,6.0000
Seattle,swap_from_greedy_a_trace,Swap-A,30,2.7574110471,6,0.2430328818,6.0000
Seattle,swap_from_scenario_average,Swap-avg-scen,10,3.1160572824,6,0.0744441164,7.6667
Seattle,swap_from_scenario_average,Swap-avg-scen,20,2.9433354220,9,0.2103532497,7.6667
Seattle,swap_from_scenario_average,Swap-avg-scen,30,2.7762929360,8,0.2619147707,7.6667
Seattle,swap_from_scenario_cvar,Swap-CVaR-scen,10,3.1485061573,9,0.1068929913,8.6667
Seattle,swap_from_scenario_cvar,Swap-CVaR-scen,20,2.9387202625,8,0.2057380902,8.6667
Seattle,swap_from_scenario_cvar,Swap-CVaR-scen,30,2.7819618681,9,0.2675837028,8.6667
Seattle,top_variance,Top variance,10,3.5507602309,18,0.5091470649,16.0000
Seattle,top_variance,Top variance,20,3.1013639505,17,0.3683817782,16.0000
Seattle,top_variance,Top variance,30,2.8339583036,13,0.3195801383,16.0000
Seattle,trace_biopt,TRACE-BiOpt,10,3.0416131660,1,0.0000000000,1.0000
Seattle,trace_biopt,TRACE-BiOpt,20,2.7329821723,1,0.0000000000,1.0000
Seattle,trace_biopt,TRACE-BiOpt,30,2.5143781653,1,0.0000000000,1.0000
Seattle,validation_swap_selected,Prev. TRACE-SL,10,3.1025478946,4,0.0609347286,2.6667
Seattle,validation_swap_selected,Prev. TRACE-SL,20,2.8157054930,2,0.0827233207,2.6667
Seattle,validation_swap_selected,Prev. TRACE-SL,30,2.6095845035,2,0.0952063382,2.6667
