dataset,budget,budget_pct,split_seed,evidence_source,source_label,best_baseline_layout,best_baseline_label,trace_biopt_mae,best_baseline_mae,paired_margin
PeMS7_228,0.3,30,34,stage16_replaceable:pems7_228_20_30_fullsearch,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.899460319487902,3.258824928908929,-0.3593646094210272
Seattle,0.1,10,25,stage15_main,Stage15 main evidence,rcss_selected,RCSS,2.9388026894381643,3.004917435338449,-0.06611474590028488
Seattle,0.1,10,26,stage15_main,Stage15 main evidence,rcss_selected,RCSS,3.1198935386460764,3.2560759970916875,-0.13618245844561105
Seattle,0.1,10,27,stage15_main,Stage15 main evidence,rcss_selected,RCSS,2.929185754010097,2.946377952106045,-0.017192198095948186
Seattle,0.1,10,28,stage15_main,Stage15 main evidence,rcss_selected,RCSS,2.84563894932067,2.8989679852578125,-0.05332903593714233
Seattle,0.1,10,29,stage15_main,Stage15 main evidence,rcss_selected,RCSS,3.276623929621274,3.304063401377575,-0.027439471756300904
Seattle,0.1,10,30,stage15_main,Stage15 main evidence,rcss_selected,RCSS,2.8338590468596254,2.834957481087528,-0.0010984342279027892
Seattle,0.1,10,31,stage15_main,Stage15 main evidence,rcss_selected,RCSS,3.12261227451948,3.2073007249681544,-0.08468845044867424
Seattle,0.1,10,32,stage15_main,Stage15 main evidence,rcss_selected,RCSS,3.234339073054981,3.285274355177967,-0.050935282122985814
Seattle,0.1,10,33,stage15_main,Stage15 main evidence,rcss_selected,RCSS,3.085562533410905,3.1815455184505685,-0.0959829850396634
Seattle,0.1,10,34,stage15_main,Stage15 main evidence,rcss_selected,RCSS,3.0296138706896767,3.0538268193882363,-0.02421294869855961
Seattle,0.2,20,25,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.6876348685187628,2.722366290885341,-0.034731422366578446
Seattle,0.2,20,26,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.8402613688182505,2.921643586728268,-0.08138221791001765
Seattle,0.2,20,27,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.5705237161277896,2.6720321113103283,-0.10150839518253862
Seattle,0.2,20,28,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.5449974213127464,2.6612066409825337,-0.11620921966978726
Seattle,0.2,20,29,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.972230155045668,3.030073806908234,-0.05784365186256579
Seattle,0.2,20,30,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.5223778536230608,2.573039005836084,-0.050661152213023364
Seattle,0.2,20,31,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.820463436805389,2.9093825975885323,-0.08891916078314344
Seattle,0.2,20,32,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.9096406060941087,2.962104231413689,-0.05246362531958049
Seattle,0.2,20,33,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.785327208740944,2.93739101238608,-0.15206380364513583
Seattle,0.2,20,34,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.6763650880497063,2.7678156457149465,-0.09145055766524024
Seattle,0.3,30,25,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.50467793453005,2.532980989637468,-0.028303055107418373
Seattle,0.3,30,26,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.630681899031877,2.6587562086780165,-0.02807430964613955
Seattle,0.3,30,27,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.3517445664597383,2.454503274908637,-0.10275870844889878
Seattle,0.3,30,28,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.364484184584732,2.464913403341364,-0.10042921875663202
Seattle,0.3,30,29,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.726717035191632,2.828258891155688,-0.10154185596405574
Seattle,0.3,30,30,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.330668303615825,2.426992935184121,-0.09632463156829596
Seattle,0.3,30,31,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.5901882288510047,2.673180209403874,-0.08299198055286938
Seattle,0.3,30,32,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.6468420655858624,2.758169230814076,-0.11132716522821351
Seattle,0.3,30,33,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.5488548078173703,2.710199581600983,-0.1613447737836129
Seattle,0.3,30,34,stage16_replaceable:seattle_10_20_30_trainval,Stage16 calibrated rerun,validation_swap_selected,Prev. TRACE-SL,2.448922627562926,2.587890310642743,-0.13896768307981677
