budget,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,cost_proxy,cost_budget,split_mode,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,graph_sampling_laplacian,10,0,4.3383532974197925,0.29386418373278567,,,1073.7985264511863,3.9543474203621667,,,366.99932826627423,8.975067224959663,,,11819.305388876812,124.66134923107889,,,0.06024119966750361,7.314236392868128e-18,,,1.0,0.0,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_a_trace,10,1,3.0068269893156674,0.20568581932764796,2.958505370156724,,660.6835153656926,2.3285015781718306,659.7708383378867,,285.7554428810349,5.742285401180494,289.14624300068726,,2755.287873629035,59.84307010472341,2744.6031912726057,,0.00635700087713256,3.3808714638603345e-05,0.0064281065482443,,0.012158144662920511,0.010744226349481323,0.0,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,greedy_d_logdet,10,0,3.339935894445327,0.23505551916266984,,,685.2587403603727,2.0364063140686683,,,281.53108142200523,5.405342459427926,,,5730.07340880537,100.51235920993864,,,0.0069591331578287095,5.830665650500017e-05,,,0.259230788411006,0.01769787141584058,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,multistart_swap_by_validation,10,0,3.1073392505261843,0.19991593101329946,,,769.4029566229815,8.010681408257266,,,309.91641101274945,6.4145705905810075,,,2283.6710851729476,93.20528968489724,,,0.00690151018866598,0.00022665123676240208,,,0.08765993910089763,0.026163821145235102,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,observability_proxy,10,0,4.031965229346951,0.30124666774882014,,,1136.614247258621,4.951626755302795,,,372.4439227372883,8.12669548080204,,,10565.167814646145,319.3522676009444,,,0.06811320845047888,1.4628472785736255e-17,,,0.7734012235276889,0.05936279624894425,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,qr_pod_modes,10,0,3.0667842353392682,0.20664163011796588,,,664.1743817801463,2.3285967057308334,,,282.29387675244067,5.343001751655601,,,3094.7755694236903,107.8192695094503,,,0.006351168661066759,3.394506399399237e-05,,,0.057212807640176264,0.016250604540517508,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,quality_coverage_sample,1000,0,3.2503482056729003,0.19589301579650076,,,837.5886537309071,12.085719567751433,,,329.44782468152266,8.324198356069104,,,3381.897819477864,522.0074431349574,,,0.006196813423372713,9.743446616301417e-05,,,0.1944570699884158,0.04544902565776153,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,random_validation_pool,1000,0,3.3198566871131296,0.20332505390311822,,,846.2538612827545,12.742591121315636,,,329.4424501296971,8.220133875507559,,,3368.073840334257,491.6121632519672,,,0.007385087608069318,0.00033783376795430914,,,0.24591641412968476,0.04675854963324778,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,robust_coverage_cvar,10,0,3.2801677181765156,0.21701234615118556,,,772.3424374880062,9.545368860120833,,,266.2053363644857,5.602736635254706,,,3542.4588322410955,246.24961746502947,,,0.00577980077699088,8.355012215403915e-05,,,0.2167312509233011,0.0556766105737207,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_average_a_trace,10,0,3.3251916499399585,0.21967061935977075,,,745.5241005716514,6.343100749148475,,,269.3584716463612,5.183451593858323,,,3698.766908121983,325.5016773783269,,,0.00698234196170507,0.00017662941101545868,,,0.24992663124551617,0.04664629739522336,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,scenario_cvar_a_trace,10,0,3.340926503430635,0.21099364889402172,,,786.664962898074,8.365642978433495,,,265.14748769608184,5.499524057917783,,,3887.075061484291,363.4291273244513,,,0.00708772049396329,0.00021114662516504733,,,0.2624376836503023,0.04208933335081402,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_best_random_trace,10,0,3.172420397213531,0.1960969674281531,,,758.0869017066747,5.3917248672749745,,,307.33651224312746,6.913307828408955,,,2290.316550312121,124.59687514536702,,,0.006800930994344071,0.00013992812126201518,,,0.13622445931587085,0.0285282458591453,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_greedy_a_trace,10,9,2.991892066862312,0.2072896126379554,2.9938867165273737,0.21976202330946898,654.8334032550047,2.183251529575636,654.9157246681746,2.299167561765117,283.7889177337419,5.76706011407694,283.41479025462917,5.986791898399549,2919.3283740499874,73.64466002996201,2921.40903464475,77.79958241565636,0.006359533886567989,3.852830311783197e-05,0.006357968332897344,4.052666564073187e-05,0.00117038277475778,0.0037010753024624083,0.0,0.0
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_scenario_average,10,0,3.1747964312402877,0.2174462914671058,,,696.6883018061952,4.152487023847686,,,271.98500879320216,5.09610010614338,,,3227.9990517034603,185.27073577550587,,,0.00671138145014257,0.00012588087147666002,,,0.1374404279010968,0.02761165867490689,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,swap_from_scenario_cvar,10,0,3.1987863659438305,0.21016189712973657,,,723.3328079542398,4.881289494938714,,,268.4103232501774,5.0591175343495705,,,3099.8856192884405,188.60348892258864,,,0.0067254783758673095,0.000143932454298604,,,0.15599379714291262,0.02859015956594307,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,top_variance,10,0,3.338849554906252,0.23945712299882418,,,1128.644899757348,5.452140440375056,,,399.2212645665849,12.532866339190214,,,9926.308098265627,136.88176114232587,,,0.013921014161935197,0.00035736293651738096,,,0.2610068208043376,0.06270317968501682,,
0.3,baseline,baseline,0.0,0.0,0.0,0,none,0.0,random,validation_swap,30,0,3.019676586589581,0.13499895173923376,,,659.8971001336147,4.495376774222684,,,283.9460791224058,5.611893531322561,,,2923.130605700904,162.1136092986348,,,0.006355901141589103,3.443412828330792e-05,,,0.41345096498693157,0.4374083932053088,,
