method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,robustness_family,robustness_condition,failure_rate,noise_scale,missing_rate,missing_block_steps,split_mode,cost_proxy,cost_budget,layout_sensor_cost,cost_feasible,selected_sensor_count,active_sensor_count,dropped_sensor_count,posterior_trace,condition_number,information_logdet,candidate_count
gsp,1.0835500620305911,1.8148762308958517,0.0159593484007209,PeMS7_228,0.2,46,182,validation_swap_selected,0,25,2151,1.487877123022902,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,16.4143912861885,97.23032507333431,663.0275707190203,100
gls_map,1.1088777094325013,1.8229551730662013,0.0163590844331016,PeMS7_228,0.2,46,182,validation_swap_selected,0,25,2151,1.487877123022902,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,295.9074108890037,884.4872048505412,132.75433212505797,100
historical_tod_mean,1.0581593406593413,1.9784428539570251,0.015435280853016,PeMS7_228,0.2,46,182,robust_coverage_cvar,0,25,2151,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,100
neighbor_average,2.748351648351647,3.3028588645106627,0.0410796403388621,PeMS7_228,0.2,46,182,robust_coverage_cvar,0,25,2151,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,100
gsp,1.271320031431259,1.9658499639291531,0.0187568762726929,PeMS7_228,0.2,46,182,robust_coverage_cvar,0,25,2151,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,16.420633879918277,97.16333891237058,662.9485638231238,100
gls_map,1.256857903259354,2.002776462235506,0.0185489249033978,PeMS7_228,0.2,46,182,robust_coverage_cvar,0,25,2151,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,298.003453056908,1813.7505428719653,139.49741243739584,100
historical_tod_mean,1.0426785714285716,1.8686446963972636,0.0152184777077161,PeMS7_228,0.2,46,182,random,0,25,2251,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,200
neighbor_average,2.674542124542123,3.187689040098077,0.0394262934137681,PeMS7_228,0.2,46,182,random,0,25,2251,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,200
gsp,1.0985413400729884,1.8345197076571016,0.0161294238753369,PeMS7_228,0.2,46,182,random,0,25,2251,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,16.41771038106333,96.78111826662987,662.9842277742442,200
gls_map,1.1201797017847115,1.8097797993587,0.0164746467009476,PeMS7_228,0.2,46,182,random,0,25,2251,,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,295.04843389265835,880.642927620295,132.72078707600997,200
historical_tod_mean,1.0426785714285716,1.8686446963972636,0.0152184777077161,PeMS7_228,0.2,46,182,best_random_by_validation,0,25,2251,1.5975972384658796,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,200
neighbor_average,2.674542124542123,3.187689040098077,0.0394262934137681,PeMS7_228,0.2,46,182,best_random_by_validation,0,25,2251,1.5975972384658796,baseline,baseline,0.0,0.0,0.0,0,random,none,0.0,0.0,True,46,46,0,,,,200
