method,mae,rmse,mape,dataset,budget,sensor_count,hidden_count,layout_type,layout_id,split_seed,layout_seed,validation_selected_mae,posterior_trace,condition_number,information_logdet,run_dir
gsp,3.5494928560243397,6.153755398376392,0.0930351517382672,PeMS7_228,0.1,23,205,random,80,23,2026,,19.217037752810576,161.96825025103635,661.3030051855463,seed_23
gls_map,3.490653183151596,6.01622729988808,0.0887684716846741,PeMS7_228,0.1,23,205,random,80,23,2026,,391.43110217598735,2307.5325796405787,106.22038557106532,seed_23
historical_tod_mean,3.53730462398374,6.246073771936175,0.0971877019250848,PeMS7_228,0.1,23,205,random,81,23,2026,,,,,seed_23
neighbor_average,8.105850553297199,12.084787170349744,0.2265193481236549,PeMS7_228,0.1,23,205,random,81,23,2026,,,,,seed_23
gsp,3.5752958751853074,6.243602382515778,0.0971351866123209,PeMS7_228,0.1,23,205,random,81,23,2026,,19.217004255173524,158.89843526450653,661.2925071118779,seed_23
gls_map,3.4856444989621287,6.167210741468463,0.0926850035333922,PeMS7_228,0.1,23,205,random,81,23,2026,,377.9187696237629,1677.9197126691645,107.04672259862726,seed_23
historical_tod_mean,3.42679797594851,6.116825612346495,0.0944092456611374,PeMS7_228,0.1,23,205,random,82,23,2026,,,,,seed_23
neighbor_average,8.388639058265582,12.553327736240409,0.2148164998351297,PeMS7_228,0.1,23,205,random,82,23,2026,,,,,seed_23
gsp,3.479726172894965,6.083591166421867,0.0911818362680427,PeMS7_228,0.1,23,205,random,82,23,2026,,19.213458074832165,161.61535714250908,661.18942208204,seed_23
gls_map,3.4131166768355543,5.890578749462279,0.0867612843818072,PeMS7_228,0.1,23,205,random,82,23,2026,,375.39341039442326,1448.3119834515958,107.75909889147708,seed_23
historical_tod_mean,3.468581893631436,6.142113177785293,0.0954827961125856,PeMS7_228,0.1,23,205,random,83,23,2026,,,,,seed_23
neighbor_average,8.010316169828366,12.507623815567184,0.2347881955806206,PeMS7_228,0.1,23,205,random,83,23,2026,,,,,seed_23
gsp,3.4994337639399253,6.140042170599979,0.0957306283747115,PeMS7_228,0.1,23,205,random,83,23,2026,,19.21691774625353,162.27773574470874,661.3122811608367,seed_23
gls_map,3.487304205537922,6.1101065073383545,0.0934269834231307,PeMS7_228,0.1,23,205,random,83,23,2026,,371.5223798498792,2176.946266008886,109.61584454245772,seed_23
historical_tod_mean,3.427286543021681,6.146833146902317,0.0942426603104701,PeMS7_228,0.1,23,205,random,84,23,2026,,,,,seed_23
neighbor_average,8.204458841463415,12.5046842679693,0.2215719082725986,PeMS7_228,0.1,23,205,random,84,23,2026,,,,,seed_23
gsp,3.446303650923282,6.098722601464888,0.0915440536578237,PeMS7_228,0.1,23,205,random,84,23,2026,,19.21700013442367,156.89482335339298,661.2710859251272,seed_23
gls_map,3.4633662832980647,6.049210890007789,0.0899235766284325,PeMS7_228,0.1,23,205,random,84,23,2026,,377.2269459622422,1542.496043865991,108.03301747187004,seed_23
historical_tod_mean,3.4184153539972897,6.030567220302039,0.0923515353969726,PeMS7_228,0.1,23,205,random,85,23,2026,,,,,seed_23
neighbor_average,8.311555160343271,12.443812167490565,0.2120403350475924,PeMS7_228,0.1,23,205,random,85,23,2026,,,,,seed_23
gsp,3.4839360580953445,6.018034230261677,0.0915191559450677,PeMS7_228,0.1,23,205,random,85,23,2026,,19.214884089916573,158.4847663438886,661.2276969084662,seed_23
gls_map,3.3674715024713264,5.711382961889879,0.0835624903494162,PeMS7_228,0.1,23,205,random,85,23,2026,,370.7668537506287,1743.6466356954566,107.20998362802251,seed_23
historical_tod_mean,3.504980352303523,6.1861186966572825,0.0953702437647359,PeMS7_228,0.1,23,205,random,86,23,2026,,,,,seed_23
neighbor_average,7.919082260614274,12.179427843539289,0.2098150816564766,PeMS7_228,0.1,23,205,random,86,23,2026,,,,,seed_23
gsp,3.532972521080355,6.149830439357951,0.0926636401771894,PeMS7_228,0.1,23,205,random,86,23,2026,,19.21490254404728,158.6322387377747,661.2124609152971,seed_23
gls_map,3.548349164920832,6.156800359582423,0.0911576367151716,PeMS7_228,0.1,23,205,random,86,23,2026,,389.7985395962252,2168.6617427102337,106.83945522221929,seed_23
historical_tod_mean,3.4928044122628723,6.185578352837453,0.0956469828918533,PeMS7_228,0.1,23,205,random,87,23,2026,,,,,seed_23
neighbor_average,7.766463979223126,11.924812645731691,0.2155993448236406,PeMS7_228,0.1,23,205,random,87,23,2026,,,,,seed_23
gsp,3.513708686890524,6.151988539477996,0.0947761872831155,PeMS7_228,0.1,23,205,random,87,23,2026,,19.216227473360867,158.7327161658101,661.2432753647032,seed_23
gls_map,3.4273317019220757,5.907596925421497,0.0890455016605922,PeMS7_228,0.1,23,205,random,87,23,2026,,376.9355717813846,1768.4837883782434,108.71423340661352,seed_23
historical_tod_mean,3.427814024390244,6.103307108016764,0.0939193769434192,PeMS7_228,0.1,23,205,random,88,23,2026,,,,,seed_23
neighbor_average,8.199381492773263,12.636146093363214,0.2113146546777528,PeMS7_228,0.1,23,205,random,88,23,2026,,,,,seed_23
gsp,3.4391205457718503,6.055376984290391,0.0920029883410773,PeMS7_228,0.1,23,205,random,88,23,2026,,19.21528530155209,161.72450456313393,661.2573163898828,seed_23
gls_map,3.514385698193446,5.961007829578077,0.0895659644596767,PeMS7_228,0.1,23,205,random,88,23,2026,,384.6839146597793,2091.8515695644737,107.89529188989349,seed_23
historical_tod_mean,3.4654628218157177,6.140726744116312,0.0944919078805373,PeMS7_228,0.1,23,205,random,89,23,2026,,,,,seed_23
neighbor_average,8.23642361111111,12.565817367724843,0.2123750240781603,PeMS7_228,0.1,23,205,random,89,23,2026,,,,,seed_23
gsp,3.5443481800476277,6.143835830421679,0.093776345410875,PeMS7_228,0.1,23,205,random,89,23,2026,,19.215642942121903,161.7905769804406,661.2346859943635,seed_23
