budget,source,candidate_row_count,selected_count,validation_mae_mean,validation_mae_std,selected_validation_mae_mean,selected_validation_mae_std,posterior_trace_mean,posterior_trace_std,selected_posterior_trace_mean,selected_posterior_trace_std,scenario_cvar_trace_mean,scenario_cvar_trace_std,selected_scenario_cvar_trace_mean,selected_scenario_cvar_trace_std,condition_number_mean,condition_number_std,selected_condition_number_mean,selected_condition_number_std,coverage_penalty_mean,coverage_penalty_std,selected_coverage_penalty_mean,selected_coverage_penalty_std,rcss_score_mean,rcss_score_std,selected_rcss_score_mean,selected_rcss_score_std
0.3,multistart_swap_by_validation,10,4,3.0570582711446197,0.1964423225051764,2.9186128624356056,0.08306177030145351,210.83949040153658,2.278185804925973,210.25650474927602,1.332492963508839,130.58470287088218,9.641294502759886,138.79569243537102,3.812453268010121,534.6267938033814,31.45190175943781,538.5914296983276,28.33517531259635,0.02842889491585755,0.0011446422324368566,0.02918299157091165,0.0013357831790932924,0.07495475559379257,0.04244245856550826,0.08931430857504245,0.06301172113543302
0.3,observability_proxy,10,0,3.7806972465068975,0.34573220982488884,,,285.1822206390076,1.6061318414996666,,,170.46490123090598,13.29001235266136,,,1001.0743978402312,36.367549343564555,,,0.08750332337654679,1.4628472785736255e-17,,,0.8603417754701445,0.06328684694305645,,
0.3,qr_pod_modes,10,0,3.3038966314338145,0.23769478613769984,,,206.78421995721902,0.9030545190741586,,,128.91928396905595,9.284176509678549,,,916.2174469374047,94.02237822087413,,,0.029260446259185897,0.00035285844003990567,,,0.3103938792597605,0.07662768535145521,,
0.3,quality_coverage_sample,500,4,3.193691199663726,0.24041221180622965,3.0134707337748012,0.18705984776829737,257.1184534508578,6.387748461235078,255.92076536766456,6.487575241564815,153.07291983142076,15.08670204892369,157.29491426296568,21.79616932220701,733.0590244536697,103.69687711800518,721.6178031949725,68.07201840316499,0.02827980075007766,0.0009619425805246604,0.0287768665592325,0.0011768240522745008,0.22891585702119444,0.09606998382102581,0.0,0.0
0.3,random_validation_pool,500,1,3.286980513278531,0.25106349487593527,3.176024296667183,,253.31651710805536,6.583054553504706,261.52444700579326,,149.92836224993727,13.74610053482477,145.83054636136845,,682.6883496299733,102.136640908661,619.5547784096701,,0.030640654825733537,0.0018654345103409052,0.0297450569506031,,0.31611696732694666,0.09986747228542062,0.0,
0.3,robust_coverage_cvar,10,1,3.1801818548723846,0.2077185650285824,3.545651328874799,,235.1842273884698,6.517940647031405,242.8997269351049,,108.42669653755925,4.674504456062881,99.0893036679152,,640.5565286092135,98.70310947883361,672.1759077704809,,0.02583200506878533,0.000721569100897042,0.0247629555519953,,0.16625684116170264,0.07718116996079623,0.0681421191119857,
0.3,scenario_average_a_trace,10,0,3.235840169977282,0.21660569668282256,,,226.88386427710125,2.804479423958077,,,108.95736577722172,4.541670338310719,,,618.9161319459151,45.10822009251939,,,0.030658319991729695,0.0008273096690332871,,,0.22918825171658325,0.08691058808757278,,
0.3,scenario_cvar_a_trace,10,0,3.252424734382374,0.23084743761426693,,,236.86870684401947,7.184734811317853,,,107.04787145898085,4.103505236167114,,,702.4443332200534,81.76902007366651,,,0.03423806034308475,0.004383120630278008,,,0.24290759401587234,0.12322420439846885,,
0.3,swap_from_best_random_trace,10,0,3.2139456668185824,0.2244318926011781,,,207.02949527095296,0.9971870597138262,,,127.4758809322545,8.8442021040353,,,582.5662663954824,26.85514175459946,,,0.02882060127142887,0.0009923554587642086,,,0.21561988847201413,0.05473237841738732,,
0.3,swap_from_greedy_a_trace,10,0,3.2065240578252214,0.2242332615571545,,,201.36116402452012,0.7210816428233179,,,128.38977189426316,11.798743781590838,,,662.5134112427303,31.93882723812836,,,0.02756331222384124,0.0004578238886356326,,,0.21423779804323823,0.04792106883966703,,
0.3,swap_from_scenario_average,10,0,3.2004700304774603,0.2408198300379597,,,203.59873982433643,0.8056150443678021,,,124.41935707189825,10.828227304553222,,,647.5536589650796,40.14256141186541,,,0.028630381600893706,0.0005580455573998043,,,0.2053971136151201,0.059452244806996554,,
0.3,swap_from_scenario_cvar,10,0,3.1795929186022134,0.21605797784044262,,,205.67165457948562,1.8036710672619845,,,121.00993489641556,7.610214996544631,,,647.4744689184173,31.000999371420086,,,0.029254592628663888,0.0006985293415234156,,,0.1800176922542855,0.04148545676846039,,
0.3,top_variance,10,0,3.1297413229314164,0.28594010482362603,,,323.1573069962949,3.804234302375695,,,200.1498809475494,26.447635110188223,,,1225.0806949886858,44.08965640877459,,,0.03642973282333307,0.0013773887117402104,,,0.22799653032592673,0.11156443529978248,,
0.3,validation_swap,30,0,3.0259113087466623,0.17174646616385136,,,247.38461586836212,20.91722199633493,,,150.86568650440088,19.020106895185364,,,716.5392702332184,167.09463063909928,,,0.028965280378529336,0.001774395859336993,,,0.4758937598865837,0.3643957646609377,,
